k,"E(9,k)","E(10,k)"
1,7,7
2,8,8
3,9,9
4,9,9
5,10,10
6,11,11
7,11,11
8,12,12
9,12,12
10,12,12
11,14,14
12,15,15
13,15,15
14,16,16
15,16,16
16,16,16
17,17,17
18,17,17
19,17,17
20,17,17
21,18,18
22,19,19
23,19,19
24,20,20
25,20,20
26,20,20
27,21,21
28,21,21
29,21,21
30,21,21
31,22,22
32,22,22
33,22,22
34,22,22
35,22,22
36,24,24
37,25,25
38,25,25
39,26,26
40,26,26
41,26,26
42,27,27
43,27,27
44,27,27
45,27,27
46,28,28
47,28,28
48,28,28
49,28,28
50,28,28
51,29,29
52,29,29
53,29,29
54,29,29
55,29,29
56,29,29
57,30,30
58,31,31
59,31,31
60,32,32
61,32,32
62,32,32
63,33,33
64,33,33
65,33,33
66,33,33
67,34,34
68,34,34
69,34,34
70,34,34
71,34,34
72,35,35
73,35,35
74,35,35
75,35,35
76,35,35
77,35,35
78,36,36
79,36,36
80,36,36
81,36,36
82,36,36
83,36,36
84,36,36
85,,38
86,,39
87,,39
88,,40
89,,40
90,,40
91,,41
92,,41
93,,41
94,,41
95,,42
96,,42
97,,42
98,,42
99,,42
100,,43
101,,43
102,,43
103,,43
104,,43
105,,43
106,,44
107,,44
108,,44
109,,44
110,,44
111,,44
112,,44
113,,45
114,,45
115,,45
116,,45
117,,45
118,,45
119,,45
120,,45
